fold,comparison,delta_auc,delta_bce,delta_ap,delta_brier
0,residual_minus_symmetric,0.04006046863189705,-0.04979565617058079,0.046863985608661896,-0.018901123819273474
0,symmetric_minus_local,0.0015432098765433278,-0.03517588735426613,0.005529441127234858,-0.017870934247211173
0,residual_minus_local,0.04160367850844038,-0.08497154352484693,0.05239342673589675,-0.03677205806648465
0,symmetric_minus_global,0.007401108591584826,-0.02531621762355052,0.009812578306542807,-0.011293662287995332
0,residual_minus_global,0.04746157722348188,-0.07511187379413131,0.0566765639152047,-0.030194786107268806
0,local_minus_global,0.0058578987150414985,0.009859669730715614,0.00428313717930795,0.006577271959215841
1,residual_minus_symmetric,-0.0380165289256198,0.03625436143278382,-0.028538715377139035,0.015826367145316683
1,symmetric_minus_local,0.03841322314049578,-0.03641058560401944,0.028967188438903557,-0.015916678937135414
1,residual_minus_local,0.0003966942148759811,-0.00015622417123561938,0.0004284730617645227,-9.031179181873128e-05
1,symmetric_minus_global,0.21084297520661155,-0.1921143485784046,0.24379261048725398,-0.08510617163251732
1,residual_minus_global,0.17282644628099175,-0.15585998714562077,0.21525389511011495,-0.06927980448720064
1,local_minus_global,0.17242975206611577,-0.15570376297438515,0.21482542204835042,-0.06918949269538191
2,residual_minus_symmetric,0.011258767072720444,-0.03311262644578972,0.016049070707281454,-0.01014485953016514
2,symmetric_minus_local,-0.011997046880767748,0.03446357924245291,-0.010133758413271021,0.011209144363727108
2,residual_minus_local,-0.0007382798080473041,0.0013509527966631962,0.005915312294010433,0.0010642848335619681
2,symmetric_minus_global,0.1529469669004554,-0.05607290061566639,0.15953787682353493,-0.03122054635847707
2,residual_minus_global,0.16420573397317584,-0.0891855270614561,0.17558694753081638,-0.04136540588864221
2,local_minus_global,0.16494401378122314,-0.0905364798581193,0.16967163523680595,-0.04242969072220418
3,residual_minus_symmetric,0.0076889140984433,-0.003044711849523818,0.015874734874744223,-0.0017923757981173905
3,symmetric_minus_local,0.07619587823785201,-0.0518065853292915,0.07305209139974811,-0.024105891605061963
3,residual_minus_local,0.08388479233629531,-0.05485129717881532,0.08892682627449233,-0.025898267403179354
3,symmetric_minus_global,0.05697359299174387,-0.04815619277021266,0.05494531319156326,-0.02046856668671701
3,residual_minus_global,0.06466250709018717,-0.051200904619736476,0.07082004806630748,-0.0222609424848344
3,local_minus_global,-0.01922228524610814,0.003650392559078841,-0.01810677820818485,0.003637324918344953
4,residual_minus_symmetric,0.03605127871412772,-0.05513403469148259,0.0235203865722744,-0.020349198277616998
4,symmetric_minus_local,0.05212468276176219,0.04606260698158615,0.06853841117081544,0.015968617057232293
4,residual_minus_local,0.08817596147588991,-0.00907142770989644,0.09205879774308984,-0.004380581220384705
4,symmetric_minus_global,-0.06865360838159706,0.045315123550195624,-0.047330073580456045,0.024022238006025126
4,residual_minus_global,-0.03260232966746934,-0.009818911141286968,-0.023809687008181646,0.0036730397284081284
4,local_minus_global,-0.12077829114335925,-0.0007474834313905276,-0.11586848475127148,0.008053620948792833
