iteration,local_auc,local_bce,local_ap,local_brier,global_auc,global_bce,global_ap,global_brier,symmetric_auc,symmetric_bce,symmetric_ap,symmetric_brier,residual_auc,residual_bce,residual_ap,residual_brier,delta_residual_minus_symmetric_auc,delta_residual_minus_symmetric_bce,delta_residual_minus_symmetric_ap,delta_residual_minus_symmetric_brier,delta_symmetric_minus_local_auc,delta_symmetric_minus_local_bce,delta_symmetric_minus_local_ap,delta_symmetric_minus_local_brier,delta_residual_minus_local_auc,delta_residual_minus_local_bce,delta_residual_minus_local_ap,delta_residual_minus_local_brier,delta_symmetric_minus_global_auc,delta_symmetric_minus_global_bce,delta_symmetric_minus_global_ap,delta_symmetric_minus_global_brier,delta_residual_minus_global_auc,delta_residual_minus_global_bce,delta_residual_minus_global_ap,delta_residual_minus_global_brier,delta_local_minus_global_auc,delta_local_minus_global_bce,delta_local_minus_global_ap,delta_local_minus_global_brier
0,0.679470638207497,0.6341885817587507,0.7204157056155998,0.2234667083677602,0.6510088138472975,0.6937237263056739,0.6554979232124772,0.24524043520407302,0.7055113093341827,0.6377101774373222,0.7187764452764028,0.22250284571405965,0.717388764999469,0.6126563254952359,0.7516996116149771,0.21377325003905004,0.011877455665286307,-0.025053851942086314,0.03292316633857428,-0.00872959567500961,0.026040671126685733,0.0035215956785714653,-0.001639260339196924,-0.0009638626537005479,0.03791812679197204,-0.02153225626351485,0.03128390599937736,-0.009693458328710158,0.05450249548688524,-0.05601354886835175,0.06327852206392559,-0.022737589490013366,0.06637995115217155,-0.08106740081043806,0.09620168840249987,-0.031467185165022976,0.028461824360199506,-0.05953514454692321,0.06491778240312251,-0.021773726836312818
1,0.6540805457805821,0.6530589087097655,0.6703233232065495,0.23232103009124724,0.6825708854103466,0.6563908466194047,0.6788348603819451,0.23104784264924916,0.7176259623292751,0.6269046858392849,0.7349404100966751,0.21765547036205968,0.7183135811457617,0.6121387884446309,0.7425199825136306,0.21321460677269652,0.0006876188164866015,-0.01476589739465406,0.0075795724169555045,-0.004440863589363159,0.06354541654869306,-0.026154222870480526,0.06461708689012557,-0.014665559729187566,0.06423303536517966,-0.040920120265134585,0.07219665930708108,-0.019106423318550725,0.03505507691892851,-0.029486160780119786,0.05610554971473003,-0.01339237228718948,0.03574269573541511,-0.044252058174773845,0.06368512213168553,-0.01783323587655264,-0.02849033962976455,-0.00333193790963926,-0.008511537175395545,0.001273187441998086
2,0.7071936405721636,0.6227758836692638,0.704453314046072,0.21901754264626833,0.6879443550064318,0.6460302026516047,0.6547728937847286,0.226055454713544,0.7342997773892145,0.6128694146836737,0.7349445722497597,0.2117273349932745,0.7435688077870125,0.5877868052673108,0.7527256151389421,0.20300808802889736,0.009269030397798028,-0.025082609416362978,0.017781042889182364,-0.008719246964377148,0.027106136817050874,-0.009906468985590111,0.0304912582036877,-0.007290207652993819,0.0363751672148489,-0.03498907840195309,0.04827230109287006,-0.016009454617370966,0.046355422382782674,-0.03316078796793098,0.08017167846503115,-0.014328119720269483,0.0556244527805807,-0.05824339738429396,0.09795272135421351,-0.02304736668464663,0.0192492855657318,-0.02325431898234087,0.04968042026134345,-0.0070379120672756645
3,0.7106683033278778,0.6331800576606946,0.71216935051612,0.220862259160661,0.6623349699945446,0.6612071654932783,0.6557107689772147,0.2339742460866047,0.7236852154937261,0.6263182011931064,0.7122328241420657,0.21633916092263103,0.7455837424986361,0.5968090460593406,0.7539834616969536,0.20530545391218052,0.021898527004910018,-0.02950915513376584,0.04175063755488795,-0.011033707010450505,0.013016912165848327,-0.00686185646758819,6.347362594572026e-05,-0.00452309823802996,0.034915439170758344,-0.03637101160135403,0.04181411118083367,-0.015556805248480465,0.061350245499181555,-0.034888964300171854,0.05652205516485098,-0.017635085163973663,0.08324877250409157,-0.0643981194339377,0.09827269271973893,-0.028668792174424168,0.04833333333333323,-0.028027107832583664,0.05645858153890526,-0.013111986925943703
4,0.7046423520424491,0.6212056593599076,0.7244640266609648,0.21852472551873225,0.6775155106380782,0.657374671995649,0.6550600567848658,0.23175269569889523,0.7375501966573413,0.6134044734397452,0.7276646650593996,0.21010962817948992,0.7453493893815358,0.5894606818793955,0.7655821113672716,0.2033711386347178,0.0077991927241944925,-0.02394379156034976,0.03791744630787197,-0.006738489544772103,0.03290784461489227,-0.0078011859201623235,0.003200638398434874,-0.008415097339242339,0.04070703733908676,-0.03174497748051208,0.041118084706306846,-0.015153586884014442,0.060034686019263095,-0.04397019855590378,0.07260460827453386,-0.021643067519405312,0.06783387874345759,-0.06791399011625354,0.11052205458240583,-0.028381557064177415,0.027126841404370827,-0.03616901263574146,0.06940396987609898,-0.013227970180162973
5,0.7064912280701755,0.6298894049874948,0.7365364766430798,0.22077702966173235,0.6381578947368421,0.6953247054370176,0.6522003927790426,0.2468136097301386,0.7300341130604289,0.6126953911192847,0.7505659097875146,0.21187961559243715,0.7305116959064327,0.6015768328364184,0.772893071531987,0.20868398975502556,0.0004775828460038545,-0.011118558282866342,0.022327161744472468,-0.003195625837411592,0.023542884990253365,-0.017194013868210067,0.014029433144434833,-0.0088974140692952,0.02402046783625722,-0.02831257215107641,0.0363565948889073,-0.012093039906706793,0.09187621832358672,-0.0826293143177329,0.09836551700847196,-0.03493399413770146,0.09235380116959058,-0.09374787260059925,0.12069267875294443,-0.03812961997511305,0.06833333333333336,-0.06543530044952284,0.08433608386403713,-0.026036580068406256
6,0.7098548410003832,0.6248101483227754,0.7418038335042197,0.21840024983706052,0.6266382976442815,0.6970442066928093,0.6256882807353026,0.2480106647029187,0.7276895414240427,0.6197606713701793,0.7277013075272152,0.21383682865712086,0.7312428150716684,0.6024846016230416,0.7611762376171187,0.20877246155113513,0.0035532736476256988,-0.01727606974713769,0.03347493008990354,-0.005064367105985734,0.017834700423659533,-0.005049476952596055,-0.014102525977004565,-0.0045634211799396585,0.021387974071285232,-0.022325546699733745,0.019372404112898978,-0.009627788285925393,0.10105124377976127,-0.07728353532262999,0.1020130267919126,-0.03417383604579782,0.10460451742738697,-0.09455960506976768,0.13548795688181614,-0.03923820315178356,0.08321654335610174,-0.07223405837003394,0.11611555276891716,-0.029610414865858165
7,0.6937342132324311,0.6384995882664639,0.6541093168335799,0.2248257407804128,0.6269330990485509,0.6669984284249868,0.5672996804354019,0.23685440702734095,0.7269325998622246,0.6288909876633948,0.6653095654582448,0.21679069108050406,0.723922506314707,0.6116976307849742,0.6861392868583152,0.2123025300113541,-0.0030100935475175783,-0.017193356878420607,0.020829721400070333,-0.004488161069149954,0.033198386629793464,-0.009608600603069117,0.011200248624664955,-0.008035049699908758,0.030188293082275885,-0.026801957481489724,0.03202997002473529,-0.012523210769058712,0.0999995008136737,-0.038107440761592004,0.09800988502284291,-0.020063715946836896,0.09698940726615612,-0.05530079764001261,0.11883960642291325,-0.02455187701598685,0.06680111418388024,-0.028498840158522887,0.08680963639817796,-0.012028666246928138
8,0.6954092034367264,0.6309672067931877,0.7251320877476644,0.22133963820845717,0.6259902431920781,0.6991596041635801,0.6224188760226157,0.24911812371670822,0.7209504392990632,0.6233739005945917,0.7260755795342081,0.21563442019803564,0.7168244259987379,0.613817974046373,0.7509351022105732,0.21416656617633786,-0.00412601330032536,-0.009555926548218796,0.024859522676365153,-0.0014678540216977731,0.02554123586233681,-0.007593306198595995,0.0009434917865437376,-0.005705218010421537,0.02141522256201145,-0.01714923274681479,0.02580301446290889,-0.00717307203211931,0.09496019610698514,-0.0757857035689884,0.1036567035115924,-0.03348370351867258,0.09083418280665978,-0.08534163011720719,0.12851622618795755,-0.034951557540370354,0.06941896024464833,-0.0681923973703924,0.10271321172504866,-0.027778485508251044
9,0.7326178025191183,0.6055428634744541,0.7633514148077483,0.2115748999233817,0.6513396873594243,0.6742233875009416,0.6420973346262039,0.23938288434052996,0.7458502024291498,0.6027344833435772,0.7367581942366985,0.2068491831849409,0.7601608187134503,0.5738624624711701,0.789155812301465,0.1979194571442549,0.014310616284300526,-0.028872020872407034,0.052397618064766505,-0.008929726040685981,0.013232399910031445,-0.0028083801308769196,-0.026593220571049736,-0.004725716738440799,0.02754301619433197,-0.03168040100328395,0.02580439749371677,-0.01365544277912678,0.09451051506972552,-0.07148890415736442,0.09466085961049464,-0.03253370115558907,0.10882113135402605,-0.10036092502977145,0.14705847767526115,-0.04146342719627505,0.08127811515969408,-0.0686805240264875,0.12125408018154438,-0.027807984417148268
