fold,seed,architecture,n_outer_evaluation,n_outer_evaluation_patients,auc,bce,ap,brier
0,42,local,252,129,0.7615583270345175,0.6260101207622157,0.7697846922695846,0.2200429491559867
0,42,global,252,129,0.755700428319476,0.6161504510315001,0.7655015550902766,0.21346567719677087
0,42,symmetric,252,129,0.7631015369110609,0.5908342334079496,0.7753141333968194,0.20217201490877554
0,42,residual,252,129,0.8031620055429579,0.5410385772373688,0.8221781190054813,0.18327089108950206
1,42,local,246,132,0.7824132231404959,0.5652123938457754,0.8023851215494597,0.19074289271827902
1,42,global,246,132,0.6099834710743801,0.7209161568201605,0.5875596995011093,0.2599323854136609
1,42,symmetric,246,132,0.8208264462809917,0.5288018082417559,0.8313523099883633,0.1748262137811436
1,42,residual,246,132,0.7828099173553719,0.5650561696745398,0.8028135946112243,0.19065258092646029
2,42,local,255,129,0.7291743570813338,0.6159166356428415,0.7303258204261722,0.21327112055885092
2,42,global,255,129,0.5642303433001107,0.7064531155009608,0.5606541851893663,0.2557008112810551
2,42,symmetric,255,129,0.7171773102005661,0.6503802148852944,0.7201920620129012,0.22448026492257803
2,42,residual,255,129,0.7284360772732865,0.6172675884395047,0.7362411327201827,0.2143354053924129
3,42,local,252,137,0.665595260603769,0.6559593314110432,0.6737299773456933,0.23299523028574165
3,42,global,252,137,0.6848175458498771,0.6523089388519644,0.6918367555538781,0.2293579053673967
3,42,symmetric,252,137,0.741791138841621,0.6041527460817517,0.7467820687454414,0.2088893386806797
3,42,residual,252,137,0.7494800529400643,0.6011080342322279,0.7626568036201856,0.2070969628825623
4,42,local,248,130,0.5204008589835362,0.696679341442531,0.4959517982169836,0.2514834419640744
4,42,global,248,130,0.6411791501268954,0.6974268248739215,0.6118202829682551,0.24342982101528157
4,42,symmetric,248,130,0.5725255417452983,0.7427419484241171,0.564490209387799,0.2674520590213067
4,42,residual,248,130,0.6085768204594261,0.6876079137326345,0.5880105959600734,0.2471028607436897
