architecture,bin,count,mean_probability,observed_fraction,absolute_gap
local,1,251,0.3072939515059761,0.33067729083665337,0.023383339330677266
local,2,460,0.4970586101956521,0.3978260869565217,0.0992325232391304
local,3,41,0.5103543,0.4634146341463415,0.04693966585365855
local,4,250,0.57201554288,0.532,0.04001554287999998
local,5,251,0.7675806852589642,0.8087649402390438,0.041184254980079604
global,1,251,0.1806944751673307,0.26294820717131473,0.08225373200398403
global,2,250,0.33181921927999997,0.476,0.14418078072
global,3,251,0.43062985386454183,0.5298804780876494,0.09925062422310754
global,4,250,0.50891992644,0.532,0.02308007356000008
global,5,251,0.6275795169322709,0.6772908366533864,0.04971131972111553
symmetric,1,251,0.19989398673306774,0.23107569721115537,0.031181710478087626
symmetric,2,250,0.35947003116000004,0.376,0.016529968839999964
symmetric,3,251,0.5393269109561752,0.4701195219123506,0.06920738904382462
symmetric,4,250,0.70128759552,0.612,0.08928759551999998
symmetric,5,251,0.8527157396812749,0.7888446215139442,0.06387111816733071
residual,1,251,0.2240021865179283,0.24701195219123506,0.02300976567330676
residual,2,250,0.35826364816,0.34,0.01826364815999998
residual,3,251,0.4996621250996016,0.47410358565737054,0.025558539442231076
residual,4,250,0.6348985642,0.592,0.042898564200000044
residual,5,251,0.8141578968924303,0.8247011952191236,0.010543298326693207
