threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,negative_predictive_value,f1,youden_j,true_negative,false_positive,false_negative,true_positive
0.01,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.015,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.019999999999999997,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.024999999999999998,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.03,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.034999999999999996,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.039999999999999994,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.045,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.049999999999999996,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.05499999999999999,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.05999999999999999,0.48616600790513836,0.5,0.48616600790513836,1.0,1.0,0.0,0.0,0.6542553191489362,0.0,0,130,0,123
0.06499999999999999,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.06999999999999999,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.07499999999999998,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.07999999999999999,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.08499999999999998,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.08999999999999998,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.09499999999999999,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.09999999999999998,0.4901185770750988,0.5038461538461538,0.4880952380952381,1.0,1.0,0.007692307692307693,1.0,0.656,0.007692307692307665,1,129,0,123
0.10499999999999998,0.48616600790513836,0.4997811131957473,0.4860557768924303,0.991869918699187,0.991869918699187,0.007692307692307693,0.5,0.6524064171122995,-0.0004377736085053874,1,129,1,122
0.10999999999999997,0.4901185770750988,0.5036272670419012,0.488,0.991869918699187,0.991869918699187,0.015384615384615385,0.6666666666666666,0.6541554959785523,0.007254534083802389,2,128,1,122
0.11499999999999998,0.4901185770750988,0.5036272670419012,0.488,0.991869918699187,0.991869918699187,0.015384615384615385,0.6666666666666666,0.6541554959785523,0.007254534083802389,2,128,1,122
0.11999999999999998,0.49407114624505927,0.507473420888055,0.4899598393574297,0.991869918699187,0.991869918699187,0.023076923076923078,0.75,0.6559139784946236,0.014946841776110054,3,127,1,122
0.12499999999999997,0.49407114624505927,0.507473420888055,0.4899598393574297,0.991869918699187,0.991869918699187,0.023076923076923078,0.75,0.6559139784946236,0.014946841776110054,3,127,1,122
0.12999999999999998,0.4980237154150198,0.5111006879299562,0.491869918699187,0.983739837398374,0.983739837398374,0.038461538461538464,0.7142857142857143,0.6558265582655827,0.022201375859912442,5,125,2,121
0.13499999999999998,0.4980237154150198,0.5111006879299562,0.491869918699187,0.983739837398374,0.983739837398374,0.038461538461538464,0.7142857142857143,0.6558265582655827,0.022201375859912442,5,125,2,121
0.13999999999999999,0.5138339920948617,0.5264853033145717,0.5,0.983739837398374,0.983739837398374,0.06923076923076923,0.8181818181818182,0.663013698630137,0.052970606629143324,9,121,2,121
0.145,0.5177865612648221,0.5301125703564727,0.502092050209205,0.975609756097561,0.975609756097561,0.08461538461538462,0.7857142857142857,0.6629834254143646,0.06022514071294549,11,119,3,120
0.15,0.5177865612648221,0.5298936835522201,0.5021097046413502,0.967479674796748,0.967479674796748,0.09230769230769231,0.75,0.6611111111111111,0.059787367104440214,12,118,4,119
0.155,0.525691699604743,0.5375859912445279,0.5063829787234042,0.967479674796748,0.967479674796748,0.1076923076923077,0.7777777777777778,0.664804469273743,0.07517198248905577,14,116,4,119
0.15999999999999998,0.5296442687747036,0.5414321450906817,0.5085470085470085,0.967479674796748,0.967479674796748,0.11538461538461539,0.7894736842105263,0.6666666666666666,0.08286429018136343,15,115,4,119
0.16499999999999998,0.5296442687747036,0.5412132582864291,0.5086206896551724,0.959349593495935,0.959349593495935,0.12307692307692308,0.7619047619047619,0.6647887323943662,0.08242651657285816,16,114,5,118
0.16999999999999998,0.5296442687747036,0.5409943714821763,0.508695652173913,0.9512195121951219,0.9512195121951219,0.13076923076923078,0.7391304347826086,0.6628895184135978,0.08198874296435266,17,113,6,117
0.175,0.549407114624506,0.5602251407129456,0.52,0.9512195121951219,0.9512195121951219,0.16923076923076924,0.7857142857142857,0.6724137931034483,0.1204502814258912,22,108,6,117
0.18,0.5573122529644269,0.5679174484052533,0.5246636771300448,0.9512195121951219,0.9512195121951219,0.18461538461538463,0.8,0.6763005780346821,0.13583489681050653,24,106,6,117
